weight_fraction,weight_fraction_sig,wr_value,gof_value,name,phase_name
"[0.35223, 0.5206, 0.07519, 0.05198]","[0.01845, 0.02969, 0.00539, 0.00401]","[7.9, 7.9, 7.9, 7.9]","[2.16, 2.16, 2.16, 2.16]",20240617_230536_newbbo_trial81_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_45min_20240616_144216_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.456,0.533,0.01,0.001]",[],"[14.249,14.249,14.249,14.249]","[3.8, 3.8, 3.8, 3.8]",20240617_221050_newbbo_trial8_Rwp14_YN30_10N_speed1.0_groundCs_CsPbBr3_15min_20240616_135235_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.33144, 0.52078, 0.11927, 0.02851]","[0.01415, 0.02394, 0.00646, 0.00132]","[7.29, 7.29, 7.29, 7.29]","[2.06, 2.06, 2.06, 2.06]",20240617_232934_newbbo_trial90_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_60min_20240616_150817_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.29416, 0.41851, 0.17238, 0.11495]","[0.00908, 0.01268, 0.00635, 0.00394]","[8.74, 8.74, 8.74, 8.74]","[2.62, 2.62, 2.62, 2.62]",20240617_212230_newbbo_trial108_Rwp8_YN30_10N_speed1.0_groundCs_CsPbBr3_120min_20240616_161607_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.27168, 0.37875, 0.20518, 0.14439]","[0.00759, 0.01056, 0.00661, 0.00347]","[7.3, 7.3, 7.3, 7.3]","[2.14, 2.14, 2.14, 2.14]",20240617_214627_newbbo_trial176_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_150min_20240616_165119_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.31307, 0.47939, 0.13962, 0.06791]","[0.01113, 0.01727, 0.00618, 0.00352]","[7.84, 7.84, 7.84, 7.84]","[2.27, 2.27, 2.27, 2.27]",20240617_235432_newbbo_trial198_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_90min_20240616_154209_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.3654, 0.59055, 0.04173, 0.00232]","[0.01762, 0.03054, 0.00354, 0.00057]","[7.58, 7.58, 7.58, 7.58]","[1.96, 1.96, 1.96, 1.96]",20240617_224421_newbbo_trial167_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_30min_20240616_141701_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.20297, 0.29906, 0.30427, 0.1937]","[0.00509, 0.00712, 0.00784, 0.00313]","[7.11, 7.11, 7.11, 7.11]","[2.11, 2.11, 2.11, 2.11]",20240617_222422_newbbo_trial123_Rwp7_YN30_10N_speed1.0_groundCs_CsPbBr3_180min_20240616_182247_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
