Date_Time,CsBr,CsBr_sig,PbBr2,PbBr2_sig,CsPbBr3,CsPbBr3_sig,Cs4PbBr6,Cs4PbBr6_sig,time
2024-06-18 09:48:10,0.22476,0.00847,0.39939,0.01298,0.05948,0.00385,0.31638,0.00859,120
2024-06-18 10:10:07,0.18409,0.00561,0.36767,0.00854,0.06172,0.0037,0.38653,0.00658,150
2024-06-18 11:01:50,0.13255,0.00465,0.35355,0.00829,0.04372,0.00314,0.47019,0.00835,180
