,k1,k2,k3,k4
YN30_10N_speed1_weight_fraction_1,0.34092831440572147,0.0,0.0,0.0
YN30_10N_speed1_weight_fraction_2,0.5555978612816234,0.0,0.0,0.0
YN31_10N_speed05_weight_fraction_1,0.3296475068250408,0.0,0.0,0.0
YN31_10N_speed05_weight_fraction_2,0.6986504910980693,0.0,0.0,0.0
YN33_20N_speed05_weight_fraction_1,1.2182085594079366,0.0,0.0,0.0
YN33_20N_speed05_weight_fraction_2,0.0,0.0,0.0,13424.20887753866
