,k1,k2,k3,k4
YN30_10N_speed1_weight_fraction_1,0.739989422384884,-1239332.0584855767,184386.7988078838,-5301.670139321797
YN30_10N_speed1_weight_fraction_2,1.6842023735817067,-5599243.695334525,279724.8830102146,-19988.72467318867
YN31_10N_speed05_weight_fraction_1,0.4290375507228017,-8800.748261717206,-11014.585484867273,-28092.970641750788
YN31_10N_speed05_weight_fraction_2,-4.47763515457929,-1242837.2566430967,262819.67859942716,418543.6538518823
YN33_20N_speed05_weight_fraction_1,1.550137792208588,-2817880.8103553886,609895.1827262732,-6457.203124714468
YN33_20N_speed05_weight_fraction_2,-4.1486799666616365,-33294401245.90959,164997389.9435869,22790.4175779219
