Date_Time,CsBr,CsBr_sig,PbBr2,PbBr2_sig,CsPbBr3,CsPbBr3_sig,Cs4PbBr6,Cs4PbBr6_sig,time
2024-06-18 14:03:53,0.35223,0.01845,0.5206,0.02969,0.07519,0.00539,0.05198,0.00401,45
2024-06-18 17:18:05,0.456,,0.533,,0.01,,0.001,,15
2024-06-18 14:34:49,0.33144,0.01415,0.52078,0.02394,0.11927,0.00646,0.02851,0.00132,60
2024-06-18 17:48:20,0.29416,0.00908,0.41851,0.01268,0.17238,0.00635,0.11495,0.00394,120
2024-06-18 16:02:31,0.27168,0.00759,0.37875,0.01056,0.20518,0.00661,0.14439,0.00347,150
2024-06-18 16:53:27,0.31307,0.01113,0.47939,0.01727,0.13962,0.00618,0.06791,0.00352,90
2024-06-18 15:36:09,0.3654,0.01762,0.59055,0.03054,0.04173,0.00354,0.00232,0.00057,30
2024-06-18 16:33:41,0.20297,0.00509,0.29906,0.00712,0.30427,0.00784,0.1937,0.00313,180
