Date_Time,CsPbBr3,CsPbBr3_sig,Cs4PbBr6,Cs4PbBr6_sig,PbBr2,PbBr2_sig,CsBr,CsBr_sig,time
2024-06-18 15:36:09,0.02746,0.002,0.05251,0.00365,0.52054,0.00715,0.39949,0.00642,15
2024-06-18 16:33:41,0.04426,0.00268,0.09033,0.00406,0.54742,0.0207,0.318,0.01174,30
2024-06-18 16:53:27,0.06049,0.00231,0.19524,0.00349,0.48434,0.01092,0.25994,0.00607,45
2024-06-18 17:18:05,0.072,0.00282,0.31896,0.00663,0.44501,0.00964,0.16403,0.00415,60
2024-06-18 17:48:20,0.08075,0.00282,0.42589,0.00601,0.40855,0.00761,0.08481,0.00357,90
2024-06-18 14:03:53,0.123,,0.517,,0.335,,0.025,,120
2024-06-18 14:34:49,0.19557,0.00532,0.45184,0.00847,0.3423,0.0078,0.01029,0.00261,150
2024-06-18 16:02:31,0.294,,0.409,,0.297,,0.001,,180
