weight_fraction,weight_fraction_sig,wr_value,gof_value,name,phase_name
"[0.025,0.335,0.123,0.517]",[],"[6.342,6.342,6.342,6.342]","[1.93, 1.93, 1.93, 1.93]",20240618_140353_newbbo_trial84_Rwp6_YN33_20N_speed0.5_CsPbBr3_120min_20240617_210632_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.16403, 0.44501, 0.072, 0.31896]","[0.00415, 0.00964, 0.00282, 0.00663]","[6.31, 6.31, 6.31, 6.31]","[1.9, 1.9, 1.9, 1.9]",20240618_171805_newbbo_trial145_Rwp6_YN33_20N_speed0.5_CsPbBr3_60min_20240617_200242_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.01029, 0.3423, 0.19557, 0.45184]","[0.00261, 0.0078, 0.00532, 0.00847]","[7.07, 7.07, 7.07, 7.07]","[2.02, 2.02, 2.02, 2.02]",20240618_143449_newbbo_trial148_Rwp7_YN33_20N_speed0.5_CsPbBr3_150min_20240617_213919_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.08481, 0.40855, 0.08075, 0.42589]","[0.00357, 0.00761, 0.00282, 0.00601]","[6.7, 6.7, 6.7, 6.7]","[2.01, 2.01, 2.01, 2.01]",20240618_174820_newbbo_trial183_Rwp6_YN33_20N_speed0.5_CsPbBr3_90min_20240617_203430_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.001,0.297,0.294,0.409]",[],"[6.509,6.509,6.509,6.509]","[1.97, 1.97, 1.97, 1.97]",20240618_160231_newbbo_trial135_Rwp6_YN33_20N_speed0.5_CsPbBr3_180min_20240617_221232_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.25994, 0.48434, 0.06049, 0.19524]","[0.00607, 0.01092, 0.00231, 0.00349]","[6.32, 6.32, 6.32, 6.32]","[1.92, 1.92, 1.92, 1.92]",20240618_165327_newbbo_trial102_Rwp6_YN33_20N_speed0.5_CsPbBr3_45min_20240617_193835_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.39949, 0.52054, 0.02746, 0.05251]","[0.00642, 0.00715, 0.002, 0.00365]","[9.54, 9.54, 9.54, 9.54]","[2.66, 2.66, 2.66, 2.66]",20240618_153609_newbbo_trial103_Rwp9_YN33_20N_speed0.5_CsPbBr3_15min_20240617_185154_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
"[0.318, 0.54742, 0.04426, 0.09033]","[0.01174, 0.0207, 0.00268, 0.00406]","[7.87, 7.87, 7.87, 7.87]","[2.29, 2.29, 2.29, 2.29]",20240618_163341_newbbo_trial113_Rwp7_YN33_20N_speed0.5_CsPbBr3_30min_20240617_191516_G01_S01.xye,"['CsBr', 'PbBr2', 'CsPbBr3', 'Cs4PbBr6']"
